1,11.1,Seahawks,,SEA
2,9.6,Dolphins,,MIA
3,9.4,Rams,,STL
4,9.1,Bills,,BUF
5,9.1,Eagles,,PHI
6,8.8,Colts,,IND
7,8.7,Patriots,,NE
8,8.7,Texans,,HOU
9,8.7,Browns,,CLE
10,8.6,Ravens,,BAL
11,8.5,Cardinals,,ARI
12,8.4,Jets,,NYJ
13,8.0,Packers,,GB
14,7.9,Broncos,,DEN
15,7.8,Vikings,,MIN
16,7.7,Bengals,,CIN
17,7.5,Titans,,TEN
18,7.4,Chargers,,SD
19,7.2,Panthers,,CAR
20,7.2,Chiefs,,KC
21,6.9,Saints,,NO
22,6.8,Lions,,DET
23,6.7,Buccaneers,,TB
24,6.6,Giants,,NYG
25,6.5,Steelers,,PIT
26,6.5,Falcons,,ATL
27,6.3,Cowboys,,DAL
28,5.8,Redskins,,WAS
29,5.5,Raiders,,OAK
30,5.3,Bears,,CHI
31,5.2,49ers,,SF
32,4.9,Jaguars,,JAC