1,12.0,Gronkowski,Rob,NE
2,11.2,Graham,Jimmy,SEA
3,9.2,Kelce,Travis,KC
4,8.9,Olsen,Greg,CAR
5,8.2,Thomas,Julius,JAC
6,7.2,Cameron,Jordan,MIA
7,7.1,Allen,Dwayne,IND
8,7.1,Bennett,Martellus,CHI
9,6.9,Rudolph,Kyle,MIN
10,6.7,Fleener,Coby,IND
11,6.6,Eifert,Tyler,CIN
12,6.4,Cook,Jared,STL
13,6.3,Witten,Jason,DAL
14,6.3,Gates,Antonio,SD
15,6.1,Walker,Delanie,TEN
16,6.0,Donnell,Larry,NYG
17,5.8,Green,Virgil,DEN
18,5.5,Seferian-Jenkins,A,TB
19,5.4,Miller,Heath,PIT
20,4.9,Green,Ladarius,SD
21,4.9,Clay,Charles,BUF
22,4.8,Davis,Vernon,SF
23,4.7,Daniels,Owen,DEN
24,4.6,Reed,Jordan,WAS
25,4.3,Hill,Josh,NO
26,4.2,Celek,Brent,PHI
27,4.2,Amaro,Jace,NYJ
28,4.2,Barnidge,Gary,CLE
29,4.2,Ertz,Zach,PHI
30,3.9,Watson,Ben,NO